#{"t_start": 1566670438.9540758, "env_id": null}
r,l,t
7,43,1.07587
6,56,1.231562
9,50,1.349247
11,55,1.484932
10,53,1.61592
28,67,1.789705
0,52,1.927265
11,44,2.036263
27,54,2.182142
0,55,2.318431
17,57,2.463001
14,79,2.66266
11,52,2.800647
15,54,2.930945
7,37,3.016549
12,66,3.17945
41,103,3.446901
5,49,3.56892
3,51,3.690413
8,46,3.807777
7,41,3.910048
25,75,4.097346
27,60,4.252525
6,38,4.34566
13,50,4.45398
0,81,4.666088
8,34,4.744105
7,47,4.848726
15,44,4.972344
9,53,5.111732
9,50,5.235265
3,51,5.359223
11,65,5.533417
12,52,5.654356
31,98,5.919912
6,47,6.027123
4,67,6.91522
8,72,7.127088
4,50,7.245921
6,45,7.356974
4,50,7.490538
0,43,7.597976
8,52,7.753114
18,64,7.947171
8,53,8.106468
7,53,8.258643
13,70,8.446966
0,54,8.574558
17,77,8.775073
8,40,8.877716
6,56,9.009847
5,68,9.188012
7,43,9.304518
14,66,9.473777
14,54,9.605599
0,91,9.853703
0,45,9.974972
11,49,10.093705
7,67,10.270983
0,46,10.378981
4,49,10.503135
10,53,10.628735
10,63,10.795482
26,65,10.964265
9,69,11.134015
8,49,11.258321
9,61,11.415004
28,83,11.626201
16,93,11.875957
17,50,11.999377
16,50,12.126812
15,66,12.84472
13,66,13.026853
12,70,13.213
0,52,13.34337
5,70,13.523322
22,81,13.72902
32,86,13.94903
0,42,14.044243
36,105,14.322257
6,59,14.468075
14,59,14.610457
10,58,14.775264
25,80,15.02173
32,156,15.501028
8,69,15.688766
16,48,15.812229
8,58,15.95573
9,47,16.070789
7,52,16.200737
13,83,16.413443
10,61,16.574351
19,79,16.789696
36,166,17.249254
57,106,17.523551
3,58,17.661282
12,77,17.863916
32,78,18.07405
7,75,18.810368
10,69,19.007137
7,46,19.114428
18,88,19.338541
17,65,19.512721
11,78,19.709627
29,95,19.963762
9,63,20.135771
19,65,20.296268
54,131,20.655512
17,77,20.857031
8,63,21.01156
4,53,21.132506
24,76,21.336412
0,109,21.62061
18,68,21.820056
26,83,22.072879
9,64,22.244278
22,98,22.526492
8,53,22.652276
17,60,22.805334
6,84,23.03104
32,82,23.246762
7,48,23.365813
19,84,23.586233
11,81,23.804304
9,74,23.986265
1,57,24.112052
15,69,24.852964
53,122,25.196496
26,91,25.440297
24,84,25.653368
5,75,25.854064
34,155,26.253195
0,99,26.526112
49,103,26.802693
8,81,27.025036
30,82,27.240235
7,79,27.433681
40,116,27.742723
5,66,27.91521
9,97,28.177173
2,57,28.317594
9,69,28.486037
6,67,28.662841
11,86,28.918955
41,128,29.321973
13,84,29.545594
26,89,29.789569
26,86,30.023091
9,79,30.745507
1,109,31.051079
30,95,31.305478
0,85,31.539335
61,214,32.135787
37,105,32.413744
80,223,33.047994
26,98,33.313679
58,130,33.66217
0,71,33.846152
26,92,34.082569
77,144,34.477679
16,80,34.670881
32,72,34.849371
12,164,35.300752
11,125,35.643775
37,109,36.001735
64,128,36.910493
65,149,37.348327
62,139,37.717143
50,113,38.028153
1,88,38.251734
29,103,38.526715
26,102,38.828645
8,70,39.003923
60,139,39.370676
29,113,39.662941
17,237,40.294071
39,112,40.589479
132,271,41.314561
26,96,41.553465
31,135,41.916462
55,139,42.283282
5,60,43.06593
54,112,43.407839
10,165,43.857589
7,71,44.050717
11,80,44.255624
19,96,44.524403
8,129,44.8569
19,117,45.17801
9,95,45.425497
13,81,45.635541
47,123,45.963614
11,77,46.158788
93,169,46.617543
19,99,46.884522
0,72,47.070721
48,128,47.417691
53,153,47.841564
14,84,48.065737
0,79,48.267806
4,81,48.484236
0,84,49.266611
0,74,49.467555
20,112,49.805711
40,188,50.383618
67,141,50.760651
44,120,51.082062
10,113,51.387478
61,159,51.832039
15,89,52.074836
71,161,52.494475
7,98,52.757117
121,245,53.428903
4,112,53.711213
21,126,54.047508
15,89,54.277563
8,94,54.52117
5,96,55.310757
22,95,55.563684
140,226,56.179687
4,91,56.433023
21,104,56.752145
26,114,57.116679
12,87,57.341914
28,115,57.654674
25,120,57.974135
61,231,58.59817
55,147,58.989896
12,79,59.190029
6,85,59.409329
25,97,59.683869
9,107,59.973479
18,106,60.248815
47,169,60.692485
31,128,61.601302
17,87,61.822097
23,138,62.208643
15,97,62.468833
6,103,62.735445
67,141,63.117532
0,100,63.381569
25,153,63.88079
0,114,64.20965
37,133,64.570621
19,119,64.894925
11,104,65.181266
53,156,65.625999
39,108,65.912225
32,126,66.244558
9,120,66.565477
28,125,66.907804
4,102,67.743713
56,189,68.274782
40,127,68.609283
0,71,68.799624
0,78,69.011055
45,123,69.360107
0,176,69.840255
10,104,70.112142
0,76,70.310471
94,173,70.863426
24,110,71.168718
0,88,71.417536
52,125,71.74436
3,120,72.059748
34,125,72.406014
35,131,72.748929
56,157,73.173464
0,98,74.008207
0,93,74.255249
35,176,74.731965
52,145,75.113669
46,127,75.452213
0,81,75.663782
53,152,76.064852
0,109,76.342545
58,169,76.817004
86,156,77.246325
83,174,77.799681
0,95,78.061378
14,118,78.369309
5,82,78.577484
46,125,78.922251
13,119,79.236984
46,200,80.324917
42,156,80.753953
28,128,81.118268
26,246,81.7878
29,125,82.121188
34,193,82.652477
19,119,82.957835
22,119,83.276888
7,142,83.663199
32,125,84.014148
66,143,84.468058
31,137,84.86147
55,210,85.42276
23,145,86.376147
21,120,86.689615
82,189,87.208521
41,137,87.592827
0,131,87.951803
35,247,88.630322
78,175,89.10304
52,151,89.503126
37,141,89.876636
36,145,90.267743
42,173,90.723465
12,117,91.048862
128,227,92.323913
18,192,92.858144
2,140,93.244251
48,145,93.639756
59,165,94.078734
0,125,94.433714
57,148,94.839747
54,164,95.284526
17,121,95.607858
19,120,95.919552
54,169,96.381367
14,120,96.705202
0,84,96.927927
0,135,97.284058
88,197,97.820688
77,191,98.992844
66,175,99.458147
76,169,99.911761
53,204,100.476794
0,100,100.746177
18,126,101.07378
24,136,101.438941
0,124,101.777699
36,135,102.149248
78,170,102.608561
6,122,102.927117
0,132,103.283854
0,146,103.67786
42,144,104.593554
76,162,105.121277
0,122,105.512456
80,161,105.97909
46,164,106.415989
4,160,106.841377
26,115,107.161694
33,141,107.550077
53,172,108.029933
7,295,108.846942
0,128,109.188192
87,194,109.735892
12,132,110.071998
65,162,111.057825
44,131,111.433675
39,143,111.868703
112,187,112.4677
97,197,113.016657
154,249,113.696663
