#{"t_start": 1566328309.4023783, "env_id": null}
r,l,t
8,48,0.745584
3,46,0.852765
14,53,0.984339
9,53,1.117237
3,39,1.209391
10,43,1.311765
3,69,1.439801
11,50,1.533015
2,74,1.687597
0,40,1.767236
21,50,1.881003
4,46,1.970858
13,54,2.072596
15,68,2.214164
0,40,2.29985
8,47,2.382012
21,69,2.526006
7,40,2.604653
3,50,2.694563
19,54,2.802656
13,53,2.91024
27,77,3.086152
9,107,3.321063
3,38,3.389809
14,50,3.482365
6,34,3.542791
14,48,3.640587
26,84,3.818293
27,69,3.957362
13,52,4.067495
12,48,4.172699
9,52,4.303272
2,40,4.387647
6,54,4.481184
17,70,4.616444
23,92,4.798056
10,63,5.473276
11,114,5.754944
8,55,5.96108
0,57,6.182984
27,91,6.458592
18,62,6.614812
10,66,6.760607
1,82,6.946435
12,50,7.052568
0,78,7.227238
8,72,7.407592
22,82,7.64503
29,97,7.987728
8,51,8.183241
57,126,8.580135
0,67,8.722425
6,69,8.872012
26,86,9.054329
40,116,9.334134
21,74,9.48262
0,52,9.582572
10,49,9.692698
24,63,9.804622
7,40,9.875222
9,47,9.964085
0,59,10.09262
0,79,10.246759
6,74,10.411452
4,64,10.572318
20,95,11.173795
32,87,11.343756
9,57,11.46725
5,46,11.548767
29,72,11.692175
20,78,11.868641
15,70,12.030043
0,72,12.226038
36,76,12.396064
8,58,12.541696
25,68,12.826957
6,55,12.971562
18,107,13.188376
6,60,13.319537
5,60,13.459409
16,64,13.587052
2,68,13.724107
0,74,13.884257
24,73,14.034218
0,89,14.211887
4,79,14.375416
6,60,14.529793
5,52,14.676077
31,76,14.88103
19,75,15.088943
13,56,15.231988
15,89,15.418981
39,85,15.580703
0,87,16.149223
18,69,16.334461
9,70,16.523026
57,150,16.886227
13,79,17.054898
0,75,17.208747
10,52,17.303937
9,79,17.471986
15,49,17.57171
13,82,17.754186
8,49,17.863965
12,68,18.064907
33,89,18.308873
0,91,18.596937
70,117,18.994071
7,78,19.181084
3,68,19.317313
32,85,19.526817
24,91,19.738627
5,139,20.12484
60,126,20.563819
9,74,20.826669
27,81,21.016519
0,122,21.271911
60,131,21.948963
4,99,22.160921
19,105,22.371167
52,127,22.62228
36,106,22.82537
13,99,23.038162
28,83,23.234224
91,184,23.6489
41,120,23.904699
37,129,24.167988
26,84,24.331115
0,73,24.478841
18,77,24.652281
38,95,24.914338
26,83,25.073874
0,65,25.191844
19,90,25.376816
21,81,25.607751
26,78,25.809426
23,88,26.063117
39,155,26.799558
30,97,26.995194
26,132,27.263766
29,99,27.464322
3,131,27.76217
37,105,27.983053
79,140,28.288486
8,69,28.433506
12,69,28.580524
24,98,28.809372
64,136,29.146677
32,94,29.400429
20,103,29.637023
49,123,29.959861
56,138,30.258727
60,129,30.538457
37,125,30.794703
0,61,30.910179
52,130,31.171118
101,169,31.919143
14,73,32.07711
61,126,32.487728
10,95,32.716796
0,87,32.88618
34,117,33.161616
13,90,33.390009
0,68,33.527895
27,119,33.782208
13,120,34.033121
6,79,34.186414
34,88,34.368551
6,94,34.617356
35,185,35.231983
13,99,35.442708
53,123,35.717549
9,82,35.899242
25,112,36.16839
50,116,36.483097
26,75,37.037068
1,95,37.242779
25,130,37.617087
83,150,38.022907
41,109,38.34061
23,204,38.815752
28,125,39.162264
53,127,39.557882
18,110,39.943537
86,172,40.631931
13,85,40.833879
78,150,41.204476
74,127,41.588463
34,217,42.048969
4,105,42.264278
2,84,42.809051
0,109,43.048552
0,85,43.223781
51,120,43.495452
11,98,43.750895
0,88,44.004524
28,110,44.304847
45,121,44.618691
21,133,44.908828
57,188,45.408341
48,132,45.825516
29,127,46.189314
59,135,46.503755
42,123,46.803955
73,153,47.136049
53,135,47.475048
36,108,47.707662
0,75,48.248535
92,174,48.706328
68,238,49.540489
8,141,49.846692
26,116,50.118976
30,107,50.404464
10,80,50.575705
49,138,50.878492
0,93,51.117653
50,105,51.346515
20,86,51.517551
25,104,51.724621
25,95,51.924381
0,83,52.101024
64,143,52.426595
70,138,52.791592
0,86,53.052487
29,199,54.072998
17,107,54.305673
62,137,54.596192
22,121,54.872608
26,191,55.322631
52,145,55.680192
34,114,55.962845
85,179,56.498999
73,192,56.934563
65,143,57.258914
57,139,57.577152
105,259,58.346968
47,135,58.641932
3,114,59.261352
142,236,59.822914
26,108,60.094978
38,113,60.326831
46,127,60.615608
16,97,60.81044
82,160,61.130808
7,98,61.327248
0,76,61.485911
34,121,61.770154
53,123,62.101481
20,110,62.406485
61,158,62.784945
25,111,63.14636
53,141,63.484604
64,145,63.816664
91,169,64.614383
33,122,64.943611
24,113,65.287601
24,103,65.493726
46,132,65.877949
18,91,66.102255
61,129,66.392465
17,155,66.744047
54,141,67.058684
45,119,67.32479
139,219,67.869788
67,153,68.238089
52,132,68.616344
0,88,68.836661
0,85,69.136051
67,234,70.197479
25,109,70.442463
22,102,70.669333
14,102,70.920481
60,157,71.314218
104,186,71.776638
216,299,72.527226
14,103,72.83108
41,122,73.094126
60,137,73.417428
51,119,73.718253
35,111,73.9406
40,118,74.235379
87,167,74.606055
38,111,74.829005
37,112,75.45333
49,125,75.746474
8,97,75.951559
53,124,76.238313
25,190,76.790651
14,130,77.119534
139,220,77.654765
36,116,77.92532
50,123,78.20031
0,100,78.408772
50,129,78.72698
158,273,79.350687
37,112,79.686033
30,128,80.045494
16,105,80.263726
63,141,80.97248
30,129,81.246337
38,114,81.468429
51,135,81.757689
11,99,82.00665
8,96,82.210559
43,118,82.453912
74,210,83.120745
29,126,83.414036
36,128,83.74535
0,82,83.929999
37,116,84.176256
120,202,84.597192
0,89,84.822688
15,105,85.086061
10,106,85.306723
54,126,85.969208
4,100,86.215256
36,125,86.504006
0,109,86.740762
6,109,86.983433
52,140,87.292841
20,104,87.51463
84,168,87.88216
1,126,88.147416
60,140,88.442495
67,143,88.741118
80,162,89.082866
0,134,89.414416
80,161,89.747953
58,165,90.115392
0,96,90.335162
70,150,91.072192
7,107,91.300468
36,116,91.560781
18,104,91.833977
31,127,92.11395
70,205,92.590339
40,123,92.914627
44,145,93.22346
54,137,93.534228
47,127,93.816149
56,152,94.235694
56,144,94.611965
27,105,94.833184
15,106,95.066923
142,238,95.563134
72,155,96.315431
33,113,96.563662
26,106,96.787337
32,124,97.078818
21,113,97.338923
18,103,97.554758
32,111,97.806068
40,130,98.136141
56,126,98.416765
36,117,98.717084
28,114,98.98044
84,158,99.325757
66,147,99.649297
37,122,99.933503
19,144,100.285686
67,148,100.781299
34,127,101.485302
33,118,101.793148
49,134,102.084546
25,116,102.316005
170,245,103.11896
19,97,103.375564
11,98,103.577009
125,210,104.076269
25,123,104.357807
96,199,105.012638
144,234,105.558272
3,100,105.78539
141,233,106.295257
23,134,106.98165
69,142,107.27792
27,133,107.559938
58,138,107.892998
0,92,108.169283
46,128,108.526191
72,147,108.868392
9,117,109.137694
83,187,109.634862
46,138,110.030104
16,123,110.29289
84,171,110.678662
32,113,110.974858
100,189,111.559686
0,103,111.809045
60,159,112.678159
0,96,112.927042
67,164,113.387752
20,118,113.634173
0,102,113.872691
0,90,114.075135
57,145,114.380605
56,178,114.782397
31,114,115.054548
98,174,115.457633
80,160,115.829597
81,186,116.340238
39,152,116.893679
142,216,117.41106
111,184,118.269785
36,113,118.544837
15,105,118.757071
46,129,119.03633
56,143,119.338566
108,218,119.824284
14,109,120.047732
40,127,120.333718
64,158,120.678122
49,119,120.983708
85,133,121.271764
15,112,121.510715
43,118,121.753529
83,193,122.285069
62,146,123.129675
57,124,123.39528
35,109,123.639822
28,127,123.925574
133,212,124.430683
136,203,125.102227
63,133,125.43848
10,94,125.633265
47,117,125.874426
41,116,126.158004
0,89,126.385347
48,134,126.669855
0,90,126.850605
56,127,127.138684
127,221,127.683844
168,257,128.644996
34,128,128.925481
45,150,129.251186
39,157,129.57456
60,137,129.863055
19,115,130.11295
33,119,130.369438
116,205,130.821309
25,148,131.156368
31,125,131.427729
4,116,131.782744
72,173,132.205203
66,152,132.576689
24,106,132.786736
98,186,133.588095
14,101,133.840624
34,116,134.112328
0,113,134.332688
43,131,134.617723
26,119,134.874354
26,120,135.155897
70,151,135.479731
68,149,135.782958
61,143,136.104658
78,190,136.535873
15,105,136.760544
132,227,137.25519
0,137,137.584499
53,126,138.122389
78,165,138.932548
142,222,139.472749
55,130,139.824777
44,110,140.048451
0,85,140.22087
39,131,140.516277
53,134,140.825497
46,125,141.105297
53,170,141.476303
103,197,141.887891
0,111,142.12006
5,92,142.306927
71,141,142.593377
88,174,142.969262
36,79,143.504844
12,147,143.854584
46,138,144.1626
45,116,144.405599
25,109,144.628972
6,101,144.869519
0,105,145.159824
50,137,145.474524
61,150,145.807047
47,126,146.107912
25,130,146.417383
67,178,146.838622
109,201,147.38113
31,120,147.645534
100,185,148.062377
32,120,148.69683
0,88,148.900808
128,248,149.524184
23,114,149.786932
13,139,150.307503
65,148,150.862124
86,168,151.253371
41,141,151.588078
0,85,151.959794
14,99,152.350893
64,145,152.711765
86,177,153.112455
89,170,153.520684
2,110,153.740348
0,139,154.034207
59,136,154.712656
25,159,155.058523
0,102,155.269293
31,128,155.546531
62,149,155.853328
130,223,156.353187
61,144,156.685841
60,136,157.019536
49,147,157.503779
115,200,158.011762
16,108,158.27927
79,148,158.604779
7,98,158.840805
74,155,159.172103
61,138,160.090002
77,147,160.506686
3,128,160.792716
0,98,161.017584
50,162,161.385087
51,126,161.635593
65,140,161.937892
166,249,162.455176
6,111,162.691512
81,171,163.067776
42,138,163.418517
0,111,163.738405
100,189,164.167674
39,125,164.493215
74,130,165.240353
22,154,165.577423
4,112,165.861628
4,105,166.150382
97,170,166.595977
49,124,166.919375
125,217,167.410594
39,111,167.627564
49,130,167.909737
58,152,168.460286
46,128,168.863906
63,154,169.350442
75,191,169.849046
0,100,170.146294
84,187,171.076708
27,116,171.311108
178,266,171.970687
61,153,172.319313
18,105,172.536436
110,211,173.035143
58,152,173.433614
54,144,173.886847
50,143,174.259548
76,165,174.619712
39,141,174.928799
64,148,175.299152
104,206,175.735512
97,184,176.528392
79,170,176.886904
31,152,177.193918
81,167,177.603594
79,162,177.934669
27,116,178.181315
92,177,178.7332
21,117,179.200852
41,136,179.697441
53,144,180.042046
29,113,180.279808
34,121,180.555979
41,129,180.8395
17,148,181.2622
0,104,181.952613
54,132,182.28359
133,207,182.947361
69,154,183.320824
20,118,183.632651
8,115,183.93905
64,147,184.311911
0,91,184.562995
33,115,184.808418
46,131,185.111536
34,114,185.339814
55,141,185.640392
89,167,186.010528
39,114,186.267993
190,280,187.41299
3,120,187.69177
66,157,188.08981
0,101,188.318919
0,123,188.575828
27,129,188.887217
22,116,189.162402
91,180,189.60647
74,165,189.948451
109,205,190.415987
114,197,191.045834
96,201,191.620739
81,174,192.082996
32,143,192.376522
18,124,193.034178
40,158,193.420468
128,219,193.917831
65,169,194.300926
56,140,194.682758
35,147,195.004529
60,159,195.404275
61,152,195.760749
24,116,196.09613
79,183,196.575917
0,96,196.855939
29,129,197.140989
125,221,197.678265
0,112,198.304307
69,153,198.638927
39,127,198.903406
44,140,199.203437
54,145,199.52921
83,174,199.917802
140,250,200.561841
40,136,200.904665
194,290,201.72609
75,167,202.277154
97,189,202.739156
32,126,203.223948
0,110,203.913922
30,124,204.203011
50,137,204.547823
0,98,204.761811
45,138,205.100392
64,155,205.462615
43,132,205.739847
74,164,206.093082
87,185,206.497385
59,154,206.814131
45,143,207.120308
0,102,207.336088
126,221,207.804993
6,121,208.078009
80,172,208.849002
106,240,209.467049
47,147,209.882828
63,164,210.293053
42,148,210.609494
43,141,210.899724
80,169,211.23955
38,131,211.518785
71,162,211.85135
0,111,212.110073
53,152,212.459121
30,125,212.729255
56,153,213.082904
19,113,213.308279
66,156,214.094833
18,129,214.495997
51,158,214.85973
60,157,215.187934
40,131,215.531924
63,153,215.868952
7,126,216.156975
47,143,216.540653
12,113,216.837418
130,235,217.428125
41,135,217.756155
45,135,218.087298
0,102,218.291938
34,131,218.592615
47,136,219.377087
0,117,219.646153
18,118,219.92905
48,146,220.282775
56,147,220.617153
44,141,220.931355
0,119,221.190055
7,114,221.440814
54,148,221.776291
62,159,222.160701
15,114,222.437362
118,219,222.943527
47,140,223.319541
0,106,223.540408
140,239,224.12769
56,149,224.919382
78,181,225.694416
42,153,226.062705
22,120,226.327444
19,129,226.613379
37,127,226.961898
39,134,227.257435
89,192,227.775842
32,123,228.208104
47,149,228.600492
41,143,228.943295
0,113,229.197896
154,258,229.750933
32,136,230.454035
69,169,230.845753
53,143,231.329064
65,153,231.896965
114,211,232.485258
29,124,232.780318
0,109,233.040298
59,152,233.462373
14,117,233.700058
47,163,234.108212
65,159,234.459414
68,160,234.806518
83,177,235.167008
52,153,235.482833
58,158,236.338575
24,124,236.719169
48,139,237.184967
55,153,237.65076
70,179,238.290634
48,145,238.62044
56,162,238.991891
12,132,239.25776
73,191,239.674445
65,162,240.082779
38,137,240.439792
60,153,240.788676
98,182,241.188736
51,142,241.909491
0,98,242.148625
76,167,242.49733
16,118,242.770576
52,149,243.10908
69,191,243.518361
0,115,243.747063
